anecdotal	2.0	2.59
anecdote	2.64	3.04
anecdotic	2.19	1.29
anemia	3.25	2.85
anemic	2.74	2.81
anemone	4.24	2.44
anesthesia	3.41	3.3
anesthesiologist	4.27	2.74
anesthesiology	3.59	2.29
anesthetic	3.93	3.13
anesthetist	3.32	2.14
anesthetization	2.81	1.29
anesthetize	3.48	2.47
aneurism	3.56	2.14
aneurysm	3.79	3.3
anew	1.72	2.95
angel	3.82	4.89
angelfish	5.0	2.07
angelic	2.22	2.77
angelical	2.65	1.59
angelically	2.23	1.89
anger	2.41	4.29
angers	2.27	2.59
angioplasty	3.52	2.52
angle	3.5	4.17
angled	3.34	2.41
angler	4.14	2.59
angles	3.59	3.51
angleworm	4.48	1.59
angling	2.74	2.65
angrily	2.52	2.61
angriness	2.43	1.29
angry	2.53	4.77
angst	1.96	2.97
anguish	2.38	3.34
anguished	2.28	2.44
angular	3.07	2.2
angus	4.19	3.61
animal	4.61	4.66
animalistic	2.39	2.07
animalize	2.33	1.29
animate	3.04	1.89
animated	2.96	3.08
animatedly	2.19	1.29
animating	3.08	1.99
animation	3.41	3.09
animator	4.0	1.77
